character_slug,control_type,move_name_jp,tokens_classic,tokens_modern,tokens_for_mode,tokens_norm_classic,tokens_norm_modern,tokens_norm_for_mode,match_status,manual_classic,manual_modern_full,manual_modern_short,required_special_keys,consume_special_keys,gain_special_keys,variant_tag,followup_parent_move_name_jp,followup_child_variant,followup_window,applies_poison_on_hit_override,triggers_poison_bloom_on_hit_override,poison_bloom_damage_override,poison_bloom_on_hit_override,startup,active,recovery,on_hit,on_block,cancel,damage,combo_scale,drive_gain,drive_loss_guard,drive_loss_punish,sa_gain,attribute,note,row_kind,mmdk_action_id,mmdk_action_name,mmdk_action_base,frame_link_move_name_jp,mmdk_suggested_tokens,mmdk_source_key,manual_self_pos_start_x,manual_self_pos_end_x,manual_opp_pos_start_x,manual_opp_pos_end_x,manual_vs_distance_start,manual_vs_distance_end,calc_manual_self_move_x_total,calc_manual_target_move_x_sum,manual_note
cviper,classic,OD 空中バーニングキック （垂直 or 前ジャンプ中に）,,,,236KK,,236KK,norm_match,236KK,4AutoSP236AnyAny,,,,,,,,,,,,,18,18-24,着地後13,D,1～4,,1000,,0,-5000,-7000,1000,上,めくり性能 ガードさせた高度によって硬直差が変化 相手を飛び越えて空振り時、着地硬直8F増加,frame,930,SPA_BURNING_OD,,,,,,,,,,,,,
cviper,classic,弱 セイスモハンマー 弱,,,,,,,missing,623LP,1SP623L,,,,,,,,,,,,,24,24-31,26,D,-10,SA3,700,始動補正20%,2000,-2000,-7000,600,下 ・ 弾,11F目にフェイントに派生可 ハイジャンプキャンセル可能,frame,969,SPA_Seismo_L,,,,,,,,,,,,,
cviper,classic,中 セイスモハンマー 中,,,,,,,missing,623MP,2SP623M,,,,,,,,,,,,,24,24-31,33,D,-10,SA3,700,始動補正20%,2000,-2000,-7000,600,下 ・ 弾,11F目にフェイントに派生可 ハイジャンプキャンセル可能,frame,971,SPA_Seismo_M,,,,,,,,,,,,,
cviper,classic,強 セイスモハンマー 強,,,,,,,missing,623HP,3SP623H,,,,,,,,,,,,,24,24-31,33,D,-10,SA3,700,始動補正20%,2000,-2000,-7000,600,下 ・ 弾,11F目にフェイントに派生可 ハイジャンプキャンセル可能,frame,972,SPA_Seismo_H,,,,,,,,,,,,,
cviper,classic,OD セイスモハンマー,623PP,,623PP,623PP,,623PP,match,623PP,2AutoSP623AnyAny,,,,,,,BAS_Hi_JUMP_N_START,,,,,,19,19-26,26,D,-8,SA2,900,始動補正20%,0,-2000,-7000,600,下 ・ 弾,ハイジャンプキャンセル可能,frame,973,SPA_Seismo_OD,,,,,,,,,,,,,
cviper,classic,[セイスモハンマー]フェイント （セイスモハンマー攻撃前に）,,,,K,,K,norm_match,K,AnyorDIorDPor投げ,,,,,,,,,,,,,,,全体 16,,,,0,,0,0,0,0,,,frame,974,SPA_Seismo_feint,,,,,,,,,,,,,
cviper,classic,セービングフォース(Lv1),214K,,214K,214K,,214K,match,214KK,5AutoSP,,,,,,,"SPA_Armor_kick, BAS_DASH_F(1)","11-13,11",,,,,23,"23-34 23-26, 31-34",36,D,-16,,1000,始動補正50%,4000,-4000,-6000,1000,上,6-13F 全身アーマー判定(1回)、ホールドにより59Fまで延長可 アーマー判定で打撃攻撃を受け止めた際、自動発動 11-13Fまで、 前方ステップに派生可、ホールド時は59Fまで派生可 20F以上ボタンを押して離すとLv2が発動 59F以上ボタンを押し続けるとLv3が発動 パニッシュカウンター時吹き飛び時間延長,frame,982,SPA_Armor_Start,,,,,,,,,,,,,
cviper,classic,セービングフォース(Lv2) ホールド,,,,,,,missing,214KK,5AutoSP,,,,,,,,,,,,,30,"30-41 30-33, 38-41",36,D,-16,,1200,始動補正50%,4000,-4000,-6000,1000,上,パニッシュカウンター時に膝崩れダウンに,frame,983,SPA_Armor_Start(1),,,,,,,,,,,,,
cviper,classic,セービングフォース(Lv3) ホールド,,,,,,,missing,214KK,5AutoSP,,,,,,,,,,,,,69,"69-80 69-72, 77-80",36,D,-10,,1400,始動補正20%,5000,-5000,-8000,1200,上,ヒット時に膝崩れダウンに,frame,984,SPA_Armor_Start(2),,,,,,,,,,,,,
cviper,classic,OD セービングフォース(Lv1),214KK,,214KK,214KK,,214KK,match,214KK,5AutoSP,,,,,,,"SPA_Armor_kick(5), BAS_DASH_F(1)","8-10,11",,,,,20,"20-31 20-23, 28-31",36,D,-16,,1500,始動補正50%,0,-4000,-8000,1000,上,3-10F 全身アーマー判定(1回)、ホールドにより57Fまで延長可 アーマー判定で打撃攻撃を受け止めた際、自動発動 8-10Fまで、 前方ステップに派生可、ホールド時は57Fまで派生可 20F以上ボタンを押して離すとLv2が発動 57F以上ボタンを押し続けるとLv3が発動 パニッシュカウンター時吹き飛び時間延長,frame,993,SPA_Armor_Start(3),,,,,,,,,,,,,
cviper,classic,OD セービングフォース(Lv2) ホールド,,,,,,,missing,214KK,5AutoSP,,,,,,,,,,,,,30,"30-41 30-33, 38-41",36,D,-16,,1700,始動補正50%,0,-4000,-8000,1000,上,パニッシュカウンター時に膝崩れダウンに,frame,994,SPA_Armor_Start(4),,,,,,,,,,,,,
cviper,classic,OD セービングフォース(Lv3) ホールド,,,,,,,missing,214KK,5AutoSP,,,,,,,,,,,,,67,"67-78 67-70, 75-78",36,D,-10,,2000,始動補正20%,0,-5000,-10000,1200,上,ヒット時に膝崩れダウンに,frame,995,SPA_Armor_Start(5),,,,,,,,,,,,,
cviper,classic,[セービングフォース]前方ステップ （セービングフォース中に）,,,,66,,66,norm_match,66,66,,,,,,,,,,,,,,,全体 21,,,,0,,0,0,0,0,,動作中、被パニッシュカウンター,frame,1002,BAS_DASH_F(1),,,,,,,,,,,,,
cviper,classic,SA1 バウンサーステップ,236236K,,236236K,236236K,,236236K,match,236236K,5or6SPH236236L,,,,SA1,,,,,,,,,8,"8-20 8-11, 15-20",53,D,-34,,2000,,0,-2500,-5000,0,上,1-11F　打撃・投げに対して無敵 12-20F　空中判定の打撃・空弾属性に対して無敵 12-42F　空中判定 タイマー700付与、発動中Dゲージ消費無しで派生技とハイジャンプが可能 （バーンアウト中はタイマーを全消費して派生技とハイジャンプが発動可能） カウンター/パニッシュカウンターで数値が変動しない 最低保障ダメージ30％,frame,1200,SAA_1_START,,,,,,,,,,,,,
cviper,classic,SA2 ミッションオーバー,214214P,,214214P,214214P,,214214P,match,214214P,4SPH214214M,,,,,,,,,,,,,7,7-10,45,D,-29,,3000,,0,-5000,-10000,0,上,1-10F　完全無敵 最低保障ダメージ40％ カウンター/パニッシュカウンターで数値が変動しない,frame,1214,SAA_02_START,,,,,,,,,,,,,
cviper,classic,SA3 アンラックリジェクター,214214K,,214214K,214214K,,214214K,match,214214K,2SPH214214H,,,,,,,,,,,,,10,10-13,54,D,-38,,4000,※即時補正10%,0,-7500,-15000,0,上,1-13F 完全無敵 最低保障ダメージ50％ カウンター/パニッシュカウンターで数値が変動しない ※必殺技キャンセル時のみ適用,frame,1218,START_HIT,,,,,,,,,,,,,
cviper,classic,CA アンラックリジェクター,214214K,,214214K,214214K,,214214K,match,214214K,2SPH214214H,,,,,CA,,,,,,,,10,10-13,54,D,-38,,4500,※即時補正10%,0,-10000,-20000,0,上,1-13F 完全無敵 最低保障ダメージ50％ カウンター/パニッシュカウンターで数値が変動しない ※必殺技キャンセル時のみ適用,frame,1222,START_HIT(1),,,,,,,,,,,,,
cviper,classic,オーバーインパルス （近距離で） 弱 弱,,,,,,,missing,,,,,,,,,,,,,,,5,5-7,23,D,,,1200,即時補正20%,2000,0,-10000,2000,投,パニッシュカウンター時以下の性能変化 ・ダメージ2040 ・SAゲージ4000増加 ・ハードノックダウン,frame,725,NGA_6,,,,,,,,,,,,,
cviper,classic,サンダークレイドル （近距離で） 弱 弱,,,,,,,missing,,,,,,,,,,,,,,,5,5-7,23,D,,,1200,即時補正20%,2000,0,-10000,2000,投,パニッシュカウンター時以下の性能変化 ・ダメージ2040 ・SAゲージ4000増加 ・ハードノックダウン,frame,730,NGA_4,,,,,,,,,,,,,
cviper,classic,前方ステップ,66,,66,66,,66,match,66,66,,,,,,,,,,,,,,,全体 21,,,,0,,0,0,0,0,,,frame,17,BAS_DASH_F,,,,,,,,,,,,,
cviper,classic,後方ステップ,44,,44,44,,44,match,44,44,,,,,,,,,,,,,,,全体 23,,,,0,,0,0,0,0,,1-15F 投げ無敵,frame,18,BAS_DASH_B,,,,,,,,,,,,,
cviper,classic,ドライブインパクト（ヴァイパーキャノン） 強 強,,,,,,,missing,HPHK,DI,,,,,,,,,,,,,26,26-27,35,D,-3,,800,始動補正20%,0,-5000,-15000,0,上,1-27F　 アーマー判定（2回） ヒットバックでステージ端に到達すると壁やられが発生 パニッシュカウンター、もしくはアーマー成立後にヒットで以下の性能変化 ・地上ヒット膝崩れ ・空中ヒット吹き飛び時間増加 ・SAゲージ3000増加,frame,854,ATK_CTA,,,,,,,,,,,,,
cviper,classic,[ガード時]ドライブリバーサル（カウンタースパーク） （ガード中 or ドライブパリィ成立中に） 強 強,,,,,,,missing,6HPHK,6DI,,,,,,,,,,,,,20,20-22,26,D,-6,,500,,0,0,0,0,上,リカバリアブルダメージ 1-22F 完全無敵 ヒット時硬直5F増加,frame,850,ATK_CTA_4,,,,,,,,,,,,,
cviper,classic,[起き上がり時]ドライブリバーサル（カウンタースパーク） （起き上がり時に） 強 強,,,,,,,missing,6HPHK,6DI,,,,,,,,,,,,,18,18-20,26,D,-6,,500,,0,0,0,0,上,リカバリアブルダメージ 1-20F 完全無敵 ヒット時硬直5F増加,frame,852,ATK_CTA_4(2),,,,,,,,,,,,,
cviper,classic,ドライブパリィ 中 中,,,,,,,missing,MPMK,DP,,,,,,,,,,,,,1,[※2] 1-12,33,,,※1,0,,0,0,0,0,,※1 動作の4F目からドライブラッシュでキャンセル可 ※2 ボタンホールドでパリィの持続を延長可 硬直部分はガードのみ可 動作中常に被パニッシュカウンター判定,frame,480,DPA_STD_START,,,,,,,,,,,,,
cviper,classic,ジャストパリィ（打撃） ガード方向 中 中,,,,,,,missing,,,,,,,,,,,,,,,1,,1,,,,0,始動補正50％,,,,,,相手の攻撃に対応した方向入力を行った状態でパリィを入力し、 入力したフレーム、もしくはその次のフレームで攻撃を受けると成立する （上段/中段攻撃に対して←方向、下段攻撃に対しては↙方向) 方向が正しくなかった場合は通常のドライブパリィとなり、追加でDゲージが3000増加する 硬直終了から5Fの間完全無敵 （パリィを継続した場合は無敵にならない） ジャストパリィを取られた側はキャンセルが出来なくなり、動作終了まで強制パニッシュカウンター,frame,,,,,,,,,,,,,,,
cviper,classic,ジャストパリィ（飛び道具） 中 中,,,,,,,missing,,,,,,,,,,,,,,,1,,10,,,,0,始動補正50％,,,,,,パリィを入力したフレーム、もしくはその次のフレームで攻撃を受けると成立する 暗転演出が入らない ジャストパリィを取られた側はキャンセルが出来なくなり、動作終了まで強制パニッシュカウンター,frame,,,,,,,,,,,,,,,
cviper,classic,パリィドライブラッシュ （ドライブパリィ中に）,,,,66,,66,norm_match,66,66|66or5or6DP,,,,,,,,,,,,,,,全体 45,,,※,0,乗算補正15％,0,0,0,0,,暗転10F ※動作9F目から攻撃行動にキャンセル可 24F目からパリィ以外の行動でキャンセル可,frame,760,DRIVE_RUSH,,,,,,,,,,,,,
cviper,classic,キャンセルドライブラッシュ （必殺技キャンセル可能な攻撃ヒット中に）,,,,66,,66,norm_match,66,66|66or5or6DP,,,,,,,,,,,,,,,全体 46,,,※,0,乗算補正15％,0,0,0,0,,暗転9F ※動作10F目から攻撃行動にキャンセル可 25F目からパリィ以外の行動でキャンセル可,frame,761,DRIVE_RUSH(1),,,,,,,,,,,,,
cviper,modern,立ち弱P（スナップナックル） 弱,,,,,,,missing,LP,L,,,,,,,ATK_5LP_B,,,,,,4,4-6,8,4,-2,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応 ハイジャンプキャンセル可能,frame,600,ATK_5LP,,,,,,,,,,,,,
cviper,modern,立ち弱K（ヒールキック） 弱,,,,,,,missing,LK,AutoL,,,,,,,,,,,,,5,5-7,11,3,-2,C,300,始動補正20%,250,-500,-2000,300,上,ハイジャンプキャンセル可能,frame,605,ATK_5LK,,,,,,,,,,,,,
cviper,modern,立ち中K（フロントキック） 中,,,,,,,missing,MK,M|AutoM,,,,,,,,,,,,,8,8-10,18,4,-3,,700,,2000,-4000,-6000,700,上,空振り時硬直2F増加 ハイジャンプキャンセル可能,frame,606,ATK_5MK,,,,,,,,,,,,,
cviper,modern,立ち強P（トマホークチョップ） 強,,,,,,,missing,HP,H,,,,,,,,,,,,,12,12-14,21,3,-3,,900,,3000,-6000,-10000,1000,上,ハイジャンプキャンセル可能,frame,604,ATK_5HP,,,,,,,,,,,,,
cviper,modern,しゃがみ弱P（ジャブ） 弱 弱,,,,,,,missing,,,,,,,,,,,,,,,4,4-6,8,5,-1,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応 ハイジャンプキャンセル可能,frame,,,,,,,,,,,,,,,
cviper,modern,しゃがみ弱K（クラウチングヒールキック） 弱,,,,,,,missing,2LK,2L,,,,,,,,,,,,,5,5-6,9,4,-1,,200,始動補正20%,250,-500,-2000,300,下,連打キャンセル対応 ハイジャンプキャンセル可能,frame,614,ATK_2LK,,,,,,,,,,,,,
cviper,modern,しゃがみ中P（ヴァイパーブロー） 中,,,,,,,missing,2MP,AutoM,,,,,,,,,,,,,6,6-8,17,5,-2,C,600,,1500,-3000,-4000,500,上,ハイジャンプキャンセル可能,frame,611,ATK_2MP,,,,,,,,,,,,,
cviper,modern,しゃがみ中K（グランドキック） 中,,,,,,,missing,2MK,2M,,,,,,,,,,,,,8,8-10,17,5,-1,,600,始動補正20%,2000,-3000,-5000,600,下,ハイジャンプキャンセル可能,frame,615,ATK_2MK,,,,,,,,,,,,,
cviper,modern,しゃがみ強P（ヴァイパースライサー） 強,,,,,,,missing,2HP,2H,,,,,,,,,,,,,9,9-11,20,2,-5,C,800,,2000,-5000,-8000,1000,上,ハイジャンプキャンセル可能 強制立ち効果,frame,612,ATK_2HP,,,,,,,,,,,,,
cviper,modern,ジャンプ弱P（エアリアルエルボー） （ジャンプ中に） 弱,,,,,,,missing,LP,L,,,,,,,ATK_5LP_B,,,,,,5,5-10,着地後3,,,,300,,500,-1500,-2000,300,中,,frame,600,ATK_5LP,,,,,,,,,,,,,
cviper,modern,ジャンプ弱K（エアリアルプレスキック） （ジャンプ中に） 弱,,,,,,,missing,LK,AutoL,,,,,,,,,,,,,5,5-11,着地後3,,,,300,,500,-1500,-2000,300,中,,frame,605,ATK_5LK,,,,,,,,,,,,,
cviper,modern,ジャンプ中P（エアリアルヴァイパーブロー） （ジャンプ中に） 中,,,,,,,missing,MP,M,,,,,,,,,,,,,8,8-13,着地後3,,,C,600,,1000,-3000,-4000,500,中,空中ヒット時吹き飛びダウン,frame,603,ATK_5MP,,,,,,,,,,,,,
